nodeId,embedding
0,"[0.15575852990150452, 0.20970118045806885]"
1,"[0.15589290857315063, -0.04461542144417763]"
2,"[0.15584811568260193, 0.0401567742228508]"
3,"[0.15419086813926697, 0.17672811448574066]"
4,"[0.15414607524871826, -0.2384997010231018]"
5,"[0.15428043901920319, 0.007183710113167763]"
6,"[0.15423566102981567, 0.09195590764284134]"
7,"[-4.305117607116699, 0.14573347568511963]"
8,"[0.15396690368652344, 0.10058910399675369]"
9,"[0.15410128235816956, -0.15372750163078308]"
10,"[0.15405648946762085, -0.06895530223846436]"
11,"[0.1538325399160385, -0.14509430527687073]"
12,"[-4.075623035430908, -0.39216992259025574]"
13,"[0.15392212569713593, 0.18536129593849182]"
14,"[0.15387733280658722, -0.22986650466918945]"
15,"[0.1536533683538437, 0.19399449229240417]"
16,"[0.15360859036445618, -0.2212333232164383]"
17,"[0.1537429541349411, 0.024450091645121574]"
18,"[0.1536981612443924, 0.10922229290008545]"
19,"[0.15490750968456268, -0.17962706089019775]"
20,"[0.15486271679401398, -0.09485486149787903]"
21,"[0.1549970954656601, 0.1508285403251648]"
22,"[0.1549523025751114, 0.23560073971748352]"
23,"[0.15472835302352905, 0.15946173667907715]"
24,"[0.15468356013298035, 0.24423392117023468]"
25,"[0.15481793880462646, -0.010082664899528027]"
26,"[0.15477314591407776, 0.07468952983617783]"
27,"[-4.078008651733398, 0.8641113638877869]"
28,"[0.15450440347194672, 0.08332271873950958]"
29,"[0.15463876724243164, -0.1709938794374466]"
30,"[0.15459397435188293, -0.08622167259454727]"
31,"[-4.294227123260498, -0.3978632390499115]"
32,"[0.1543252319097519, -0.07758849114179611]"
33,"[0.154459610581398, 0.1680949181318283]"
34,"[0.1544148176908493, -0.24713288247585297]"
35,"[0.15275755524635315, -0.1105615571141243]"
36,"[0.15271277725696564, -0.025789355859160423]"
37,"[0.15284714102745056, 0.21989405155181885]"
38,"[0.15280234813690186, -0.19533374905586243]"
39,"[0.15257839858531952, 0.2285272479057312]"
40,"[0.1525336056947708, -0.18670056760311127]"
41,"[0.15266798436641693, 0.05898284167051315]"
42,"[0.15262319147586823, 0.14375504851341248]"
43,"[0.1523992419242859, 0.0676160380244255]"
44,"[0.15235444903373718, 0.15238822996616364]"
45,"[0.1524888128042221, -0.10192836821079254]"
46,"[-0.45381778478622437, -0.22944091260433197]"
47,"[0.15222007036209106, -0.09329517930746078]"
48,"[0.15217527747154236, -0.008522973395884037]"
49,"[0.15230965614318848, 0.23716042935848236]"
50,"[0.15226486325263977, -0.1780673712491989]"
51,"[0.15347421169281006, 0.03308327868580818]"
52,"[0.15342941880226135, 0.11785547435283661]"
53,"[0.15356379747390747, -0.13646112382411957]"
54,"[0.15351900458335876, -0.051688916981220245]"
55,"[0.15329505503177643, -0.12782792747020721]"
56,"[0.15325026214122772, -0.04305573180317879]"
57,"[0.15338462591171265, 0.20262767374515533]"
58,"[-2.1154465675354004, -0.612415611743927]"
59,"[0.1531158834695816, 0.2112608700990677]"
60,"[0.1530710905790329, -0.20396694540977478]"
61,"[0.15320546925067902, 0.04171646758913994]"
62,"[0.1531606763601303, 0.12648867070674896]"
63,"[0.15293672680854797, 0.050349656492471695]"
64,"[0.15289193391799927, 0.13512185215950012]"
65,"[0.15302631258964539, -0.11919473856687546]"
66,"[0.15298151969909668, -0.03442254289984703]"
67,"[0.15132425725460052, 0.10214878618717194]"
68,"[0.15127946436405182, 0.18692098557949066]"
69,"[0.15141384303569794, -0.06739561259746552]"
70,"[0.15136905014514923, 0.01737658865749836]"
71,"[0.1511451005935669, -0.05876241996884346]"
72,"[0.1511003077030182, 0.026009775698184967]"
73,"[0.1512346863746643, -0.2283068150281906]"
74,"[0.1511898934841156, -0.1435346156358719]"
75,"[0.15096592903137207, -0.21967361867427826]"
76,"[0.15092115104198456, -0.13490143418312073]"
77,"[0.15105551481246948, 0.11078198254108429]"
78,"[0.15101072192192078, 0.19555418193340302]"
79,"[0.15078677237033844, 0.11941517144441605]"
80,"[0.15074197947978973, 0.20418736338615417]"
81,"[0.15087635815143585, -0.050129234790802]"
82,"[0.15083156526088715, 0.03464297205209732]"
83,"[0.15204091370105743, 0.24579362571239471]"
84,"[0.15199612081050873, -0.16943418979644775]"
85,"[0.15213049948215485, 0.07624922692775726]"
86,"[-4.1526055335998535, 0.9955600500106812]"
87,"[0.1518617421388626, 0.08488240838050842]"
88,"[0.1518169641494751, 0.16965460777282715]"
89,"[0.15195132791996002, -0.08466198295354843]"
90,"[0.15190653502941132, 0.00011021410318790004]"
91,"[0.15168258547782898, -0.07602879405021667]"
92,"[0.15163779258728027, 0.008743401616811752]"
93,"[0.1517721712589264, -0.24557319283485413]"
94,"[0.15172737836837769, -0.1608009934425354]"
95,"[-0.9386587142944336, -0.5071736574172974]"
96,"[-1.4308422803878784, -0.7257853150367737]"
97,"[0.15159299969673157, 0.09351559728384018]"
98,"[0.15154820680618286, 0.1782878041267395]"
99,"[0.11549173295497894, -0.08009269833564758]"
100,"[0.11544693261384964, 0.004679499194025993]"
101,"[0.11558130383491516, -0.24963709712028503]"
102,"[0.11553651839494705, -0.1648648977279663]"
103,"[0.11531256884336472, -0.24100390076637268]"
104,"[0.11526776850223541, -0.15623171627521515]"
105,"[0.11540213972330093, 0.08945170044898987]"
106,"[0.11535736173391342, 0.1742238998413086]"
107,"[0.11513339728116989, 0.09808488190174103]"
108,"[0.11508860439062119, 0.18285708129405975]"
109,"[0.1152229830622673, -0.07145950943231583]"
110,"[0.1151781976222992, 0.013312687166035175]"
111,"[0.11495423316955566, -0.06282632052898407]"
112,"[0.11490944772958755, 0.021945875138044357]"
113,"[0.11504382640123367, -0.23237071931362152]"
114,"[0.11499903351068497, -0.1475985199213028]"
115,"[0.11620838195085526, 0.063552126288414]"
116,"[0.11616358906030655, 0.14832432568073273]"
117,"[-0.9558314085006714, -0.4439609944820404]"
118,"[0.11625316739082336, -0.021220071241259575]"
119,"[0.11602921783924103, -0.0973590835928917]"
120,"[0.11598442494869232, -0.012586883269250393]"
121,"[0.11611879616975784, 0.23309652507305145]"
122,"[0.11607400327920914, -0.18213127553462982]"
123,"[0.1158500537276268, 0.2417297214269638]"
124,"[0.1158052608370781, -0.17349809408187866]"
125,"[-2.144918441772461, 1.03070068359375]"
126,"[0.11589483916759491, 0.15695752203464508]"
127,"[0.11567088961601257, 0.08081851154565811]"
128,"[0.11562609672546387, 0.16559070348739624]"
129,"[0.11576046794652939, -0.08872589468955994]"
130,"[0.11571568250656128, -0.003953687846660614]"
131,"[0.11405842751264572, 0.13261763751506805]"
132,"[0.11401364207267761, 0.21738983690738678]"
133,"[0.11414801329374313, -0.0369267612695694]"
134,"[0.11410321295261383, 0.047845445573329926]"
135,"[0.1138792634010315, -0.028293566778302193]"
136,"[0.11383447796106339, 0.056478630751371384]"
137,"[0.11396884173154831, -0.1978379637002945]"
138,"[0.1139240488409996, -0.11306577175855637]"
139,"[0.11370010673999786, -0.18920476734638214]"
140,"[0.11365531384944916, -0.10443257540464401]"
141,"[0.11378967761993408, 0.1412508338689804]"
142,"[0.11374488472938538, 0.22602303326129913]"
143,"[0.11352094262838364, 0.14988401532173157]"
144,"[0.11347614228725433, 0.2346562147140503]"
145,"[0.11361051350831985, -0.019660379737615585]"
146,"[0.11356572806835175, 0.06511181592941284]"
147,"[0.11477506905794144, -0.22373752295970917]"
148,"[0.11473028361797333, -0.13896533846855164]"
149,"[0.11486466228961945, 0.10671807080507278]"
150,"[0.11481986939907074, 0.1914902776479721]"
151,"[0.1145959123969078, 0.11535126715898514]"
152,"[0.1145511269569397, 0.20012345910072327]"
153,"[0.11468549817800522, -0.05419313535094261]"
154,"[0.11464069783687592, 0.030579062178730965]"
155,"[0.11441674828529358, -0.045559950172901154]"
156,"[0.11437196284532547, 0.03921224921941757]"
157,"[0.11450633406639099, -0.215104341506958]"
158,"[0.11446154117584229, -0.13033214211463928]"
159,"[0.11423758417367935, -0.20647114515304565]"
160,"[0.11419279873371124, -0.12169896066188812]"
161,"[0.11432716995477676, 0.1239844560623169]"
162,"[0.11428237706422806, 0.20875665545463562]"
