nodeId,embedding
89,"[0.04228583350777626, 0.24239858984947205]"
90,"[0.042061880230903625, 0.16625957190990448]"
91,"[0.04201708734035492, -0.2489682286977768]"
92,"[0.04215146228671074, -0.0032848252449184656]"
93,"[0.04210666939616203, 0.08148737251758575]"
94,"[0.040449414402246475, 0.21805870532989502]"
95,"[-7.1667351722717285, 2.9493608474731445]"
96,"[-1.6291874647140503, -2.2304434776306152]"
97,"[0.04049420729279518, 0.1332865059375763]"
98,"[0.04027025029063225, 0.05714750289916992]"
99,"[0.04022546857595444, 0.14191970229148865]"
100,"[0.04035983234643936, -0.11239690333604813]"
101,"[0.040315043181180954, -0.0276247039437294]"
102,"[0.04009108990430832, -0.10376371443271637]"
103,"[-1.8036792278289795, -2.304842233657837]"
104,"[0.04018067196011543, 0.22669190168380737]"
105,"[0.04013587906956673, -0.1885358989238739]"
106,"[0.03991193324327469, 0.23532508313655853]"
107,"[0.039867132902145386, -0.17990271747112274]"
108,"[0.040001507848501205, 0.06578069180250168]"
109,"[0.0399567149579525, 0.1505528837442398]"
110,"[0.04116606339812279, -0.1382964551448822]"
111,"[0.04112127795815468, -0.05352426692843437]"
112,"[0.0412556529045105, 0.19215914607048035]"
113,"[0.041210852563381195, -0.22306865453720093]"
114,"[0.04098689928650856, 0.2007923275232315]"
115,"[0.04094211384654045, -0.21443547308444977]"
116,"[0.04107648879289627, 0.031247932463884354]"
117,"[-4.183099746704102, 2.679866313934326]"
118,"[0.04080774262547493, 0.03988111764192581]"
119,"[0.04076295346021652, 0.12465331703424454]"
120,"[0.04089732468128204, -0.12966327369213104]"
121,"[0.04085252434015274, -0.044891078025102615]"
122,"[0.0406285785138607, -0.12103009223937988]"
123,"[0.040583789348602295, -0.03625788912177086]"
124,"[0.04071815311908722, 0.20942552387714386]"
125,"[-4.208634376525879, -4.099543571472168]"
126,"[0.05048252269625664, 0.22908632457256317]"
127,"[0.05043773725628853, -0.1861414760351181]"
128,"[0.05057211220264435, 0.05954192951321602]"
129,"[0.050527311861515045, 0.14431412518024445]"
130,"[-3.5917463302612305, -3.4173831939697266]"
131,"[0.0502585731446743, 0.1529473215341568]"
132,"[0.05039294809103012, -0.10136927664279938]"
133,"[0.05034814774990082, -0.01659708097577095]"
134,"[0.05012420192360878, -0.09273608773946762]"
135,"[0.05007941275835037, -0.007963893003761768]"
136,"[0.050213783979415894, 0.23771950602531433]"
137,"[0.05016898736357689, -0.17750829458236694]"
138,"[0.04994503781199455, 0.24635270237922668]"
139,"[0.049900248646736145, -0.1688750982284546]"
140,"[0.05003461241722107, 0.07680830359458923]"
141,"[0.04998982325196266, 0.16158050298690796]"
142,"[0.05119916796684265, -0.12726885080337524]"
143,"[0.05115438625216484, -0.04249665141105652]"
144,"[0.05128875747323036, 0.2031867653131485]"
145,"[-10.390374183654785, -5.587785720825195]"
146,"[0.05102001130580902, 0.21181994676589966]"
147,"[0.05097522214055061, -0.20340785384178162]"
148,"[0.051109593361616135, 0.042275555431842804]"
149,"[0.05106480419635773, 0.12704774737358093]"
150,"[0.050840847194194794, 0.05090874433517456]"
151,"[0.050796058028936386, 0.1356809437274933]"
